日期,時間,類型,狀態,幣別,總額,費用,淨額,運費和處理費金額,主旨
2021/1/6,09:56:17,已送出要求,已完成,TWD,"3,181 ",0 ,"3,181 ",,
2021/1/6,12:21:52,一般付款,已完成,TWD,"3,181 ",(150),"3,031 ",,
2021/1/11,14:17:32,已送出要求,已完成,TWD,"5,774 ",0 ,"5,774 ",,
2021/1/11,14:30:25,一般付款,已完成,TWD,"5,774 ",(264),"5,510 ",,
2021/1/22,11:13:27,已送出要求,已完成,TWD,"9,417 ",0 ,"9,417 ",,
2021/1/22,16:45:57,一般付款,已完成,TWD,"9,417 ",(424),"8,993 ",,
2021/1/22,22:45:07,快速結帳付款,已完成,TWD,"2,127 ",(104),"2,023 ",180 ,官網交易 - 10181220
2021/1/22,22:45:07,購物車物品,已完成,TWD,"1,180 ",,,,官網交易 - 10181220
2021/1/22,22:45:07,購物車物品,已完成,TWD,980 ,,,,官網交易 - 10181220
2021/1/22,22:45:07,購物車物品,已完成,TWD,(213),,,,官網交易 - 10181220
2021/1/25,01:55:49,快速結帳付款,已完成,TWD,"2,205 ",(107),"2,098 ","1,182 ",官網交易 - 10181398
2021/1/25,01:55:49,購物車物品,已完成,TWD,980 ,,,,官網交易 - 10181398
2021/1/25,01:55:49,購物車物品,已完成,TWD,43 ,,,,官網交易 - 10181398
2021/1/25,10:48:14,快速結帳付款,已完成,TWD,"3,141 ",(148),"2,993 ",211 ,官網交易 - 10181414
2021/1/25,10:48:14,購物車物品,已完成,TWD,"1,080 ",,,,官網交易 - 10181414
2021/1/25,10:48:14,購物車物品,已完成,TWD,"2,380 ",,,,官網交易 - 10181414
2021/1/25,10:48:14,購物車物品,已完成,TWD,(530),,,,官網交易 - 10181414
2021/1/25,11:44:18,快速結帳付款,已完成,TWD,"1,970 ",(97),"1,873 ",155 ,官網交易 - 10181421
2021/1/25,11:44:18,購物車物品,已完成,TWD,980 ,,,,官網交易 - 10181421
2021/1/25,11:44:18,購物車物品,已完成,TWD,890 ,,,,官網交易 - 10181421
2021/1/25,11:44:18,購物車物品,已完成,TWD,(55),,,,官網交易 - 10181421
2021/2/10,00:15:55,快速結帳付款,已完成,TWD,"1,884 ",(93),"1,791 ",155 ,官網交易 - 10182993
2021/2/10,00:15:55,購物車物品,已完成,TWD,550 ,,,,官網交易 - 10182993
2021/2/10,00:15:55,購物車物品,已完成,TWD,750 ,,,,官網交易 - 10182993
2021/2/10,00:15:55,購物車物品,已完成,TWD,580 ,,,,官網交易 - 10182993
2021/2/10,00:15:55,購物車物品,已完成,TWD,(151),,,,官網交易 - 10182993
2021/2/11,21:27:11,快速結帳付款,已完成,TWD,"2,470 ",(119),"2,351 ",211 ,官網交易 - 10183431
